,year,name,fpop0_4,fpop5_9,fpop10_14,fpop15_19,fpop20_24,fpop25_29,fpop30_34,fpop35_39,fpop40_44,fpop45_49,fpop50_54,fpop55_59,fpop60_64,fpop65_69,fpop70_74,fpop75_79,fpop80_84,fpop85_89,fpop90_94,fpop95_99,fpop100_,mpop0_4,mpop5_9,mpop10_14,mpop15_19,mpop20_24,mpop25_29,mpop30_34,mpop35_39,mpop40_44,mpop45_49,mpop50_54,mpop55_59,mpop60_64,mpop65_69,mpop70_74,mpop75_79,mpop80_84,mpop85_89,mpop90_94,mpop95_99,mpop100_
35,2020,Central African Republic,381741,333043,301087,274226,247704,221009,194786,157684,127062,102394,87674,62551,49188,37673,28942,20906,11595,4389,1016,111,6,392224,355457,325439,298108,263229,211866,160699,123710,109536,98746,87605,66891,48573,30147,20717,14433,7294,2590,530,57,4
36,2020,Congo (Brazzaville),392158,365676,331758,243199,209006,192707,181908,167200,140891,114570,89040,66463,51349,37575,25273,16231,9534,3911,994,145,10,400433,374100,335806,246629,208355,189558,163491,153932,148885,129537,101346,73696,51513,33329,20907,12430,6447,2257,486,59,4
37,2020,Switzerland,213044,210478,201654,199493,227188,261710,292846,303425,292142,296050,320203,308095,256336,220006,206516,172279,126320,89464,42436,11207,1271,225718,223588,214755,211523,234667,262183,290513,305490,293808,293961,322719,314306,256483,208377,185992,144089,89575,50611,15650,2198,120
38,2020,Côte d'Ivoire,1821837,1726884,1722187,1497477,1281577,1132302,1014985,824719,700698,587726,458815,256826,219234,182158,129201,73948,34731,11031,2098,210,11,1843824,1736779,1726384,1495334,1278430,1142595,1044384,851202,725413,616915,486445,278120,215883,160411,103258,54430,23371,7028,1211,108,5
39,2020,Cook Islands,260,254,269,289,300,291,224,212,237,320,348,304,237,189,138,122,88,43,15,4,0,276,282,312,341,340,296,215,178,209,311,381,393,291,203,179,104,55,23,4,1,1
40,2020,Chile,583190,591133,584503,578738,654300,708432,694821,650480,580602,602074,625031,624594,523146,400267,314267,239715,156208,86266,38482,8572,1344,607191,615231,609168,601927,681692,733322,714550,660080,579840,592744,601968,577054,458759,334908,247450,169618,94129,40306,13889,2239,256
41,2020,Cameroon,2203570,1908949,1707217,1489154,1287674,1122764,952483,767444,604345,475696,386698,309278,243519,184483,130397,82431,42852,15926,3671,458,27,2244246,1946010,1736888,1506711,1275655,1098998,926607,744423,587676,460808,372349,292856,227916,169698,116236,69861,33689,11362,2311,249,14
42,2020,China,38898766,37227422,35656239,34191682,39684466,48128777,62018343,48596175,45387943,56128753,58451566,47409493,36148014,35544771,23360749,14835509,9800033,5066069,1566158,265655,19348,43933770,43303522,42059047,40312118,45817723,53218977,64173087,50883009,47096321,58099063,60319274,48010856,36816789,34411322,22080119,13084854,7738618,3335783,825071,104871,5852
43,2020,Colombia,2014558,1998617,1946877,1922752,2005559,2040968,1929843,1717581,1556109,1543948,1561490,1399823,1163204,883545,627053,416751,254136,130010,48365,10882,1289,2121786,2102099,2045111,2011336,2084590,2100083,1965274,1721621,1518968,1481152,1470365,1283430,1024357,729403,461395,280750,160042,70000,20056,3225,261
44,2020,Costa Rica,184500,184945,179418,181821,197377,208689,215056,197483,173213,160003,157445,144511,118207,87642,63020,42580,26688,14399,5511,1212,151,193240,193524,187645,189930,205199,215148,220188,204533,177371,159943,152944,137070,110776,81688,56841,36595,19715,8093,2204,315,24
45,2020,Cuba,287027,305776,284019,305891,321434,329251,384538,350274,299375,441352,499052,477749,322406,262411,236674,193676,135051,76575,34748,10561,2050,303874,323638,302140,329268,348934,358031,410967,361481,291336,425812,487919,459584,300650,237692,211790,165086,107210,50706,18068,3970,527
46,2020,Cabo Verde,26442,26570,27202,27062,27340,27506,25769,21995,17544,14270,14810,12892,9910,6642,3728,3839,3599,1679,510,68,7,26908,26867,27233,27087,27345,27255,25029,21293,15897,13250,13295,11708,7393,4479,2631,2198,1838,818,218,25,2
47,2020,Curaçao,4885,4769,4882,4887,4915,5392,5310,4708,3433,4210,4550,6183,5728,4967,3925,2696,1826,949,374,90,12,5135,5004,5066,5070,5368,5820,5543,5034,3631,3952,3779,4753,4400,3584,2883,1871,1091,513,155,25,2
48,2020,Cyprus,33607,32639,30274,31091,39779,48938,48958,50270,45729,43080,43386,41707,37187,30515,24969,17697,10836,5689,2182,481,56,35217,34431,32267,35973,48877,59249,58189,58492,51612,46243,43324,39065,33811,26271,20306,13619,7194,3095,904,154,13
49,2020,Czechia,241880,264563,282918,237805,238026,312864,352440,369200,447190,427086,341611,331736,330187,363318,343258,245614,149440,95177,42828,11428,1106,255706,280476,298264,253197,255171,334988,377579,399034,473049,446354,352348,329535,306859,311914,268293,170555,88844,46691,16176,3097,232
50,2020,Germany,1683969,1669371,1671797,1792859,2061402,2253573,2526335,2450062,2351437,2503115,3289941,3396033,2932779,2593442,2085065,2049397,1884244,963307,457883,146488,20999,1776750,1761217,1764808,1884800,2127887,2298632,2577315,2456231,2351130,2522407,3349719,3433254,2865333,2388514,1843627,1651041,1348387,594193,234035,50666,6376
51,2020,Djibouti,47398,44486,43885,47154,51975,54386,47390,39182,32655,25867,20710,15462,10715,8106,5711,3551,1793,662,159,21,2,47985,44795,43857,44736,44082,41887,35075,27537,21981,17022,13444,11178,8714,6993,4751,2679,1186,369,75,10,1
52,2020,Denmark,154188,149507,165338,168842,184132,196968,178966,165697,179538,197587,203317,196595,174634,163758,166592,132284,84714,48896,24135,8116,1380,163527,156769,174536,177211,193355,205588,187549,170381,182474,198600,205459,198254,172144,156110,154447,116142,66009,31024,11274,2582,308
53,2020,Dominica,2634,2601,2490,2328,2435,2907,2704,2745,2183,2100,3014,2091,1671,1509,1129,916,717,439,181,42,7,2756,2729,2607,2461,2577,3098,2849,2799,2346,2147,2919,2218,1918,1644,1080,750,459,227,79,14,2
54,2020,Dominican Republic,462739,460826,461332,474669,462556,436384,402517,359798,318790,293405,277729,241449,187605,137792,98370,62424,34287,13622,3547,405,26,479071,476495,476303,490184,478311,452130,418662,377390,332082,303455,284096,243611,185954,132368,88894,52122,26110,9059,2150,214,13
55,2020,Algeria,2141786,2163900,1874568,1481600,1438743,1734423,1753307,1748702,1529735,1242339,1078541,896571,694453,502904,359611,237724,165173,98827,37623,9022,1533,2245482,2270757,1967740,1552948,1509342,1824952,1823817,1769083,1556269,1280382,1094125,902269,702531,510380,336296,193225,124687,68551,22845,4618,655
56,2020,Ecuador,695771,707516,722246,732731,742739,702182,668216,615893,564505,492188,434966,380607,314897,252974,184396,135022,89260,49769,20091,4871,619,724678,735699,749994,762009,767143,711664,659091,591121,525788,447803,395874,352937,298540,236864,171124,121523,76040,38484,13632,2715,279
57,2020,Estonia,29913,32857,34399,27594,24840,31199,43972,43191,41343,42534,41257,44707,45990,43714,38852,30331,29070,16506,7579,1797,156,31295,34440,36518,29413,27116,33935,47263,45046,42724,42375,40912,39111,37156,31051,23848,15411,11570,5144,1842,301,24
58,2020,Egypt,6532645,5811837,4533102,4428052,4642526,4587417,4079031,3316485,2819528,2366155,2210211,1754802,1423136,1029329,664142,407646,209733,79580,20179,2645,169,6950262,6230531,4909624,4765124,4920194,4807341,4216229,3317623,2937319,2554618,2205082,1812136,1352949,934066,612726,395017,191764,65017,14704,1728,99
59,2020,Western Sahara,41442,38679,36027,32938,29804,26830,23901,20603,17202,14683,12353,10368,8230,6149,4302,2780,1556,602,153,20,1,42493,39435,36668,33498,30193,26960,23729,20149,16559,13937,11569,9373,7005,5224,3438,2089,1057,369,86,9,1
60,2020,Eritrea,393010,382997,381042,344406,284172,232107,202514,189151,169034,142713,100681,67663,58316,53131,41644,27550,15145,5585,1236,149,10,399140,387514,383865,343705,278725,224087,196207,180452,162560,135433,99972,62460,42816,35130,28196,20176,11045,3960,883,95,5
61,2020,Spain,1003736,1164214,1240391,1148659,1055921,1120840,1268395,1568892,1984687,2050396,1896509,1726157,1519406,1287886,1190768,985903,767189,603338,271229,70261,9725,1067611,1237110,1316414,1218553,1120202,1195978,1381313,1698694,2081284,2102216,1903621,1678748,1426534,1161122,1003400,761361,500687,328401,123109,28397,3688
62,2020,Ethiopia,7855816,7152979,6370513,5667298,4874832,4330612,3822549,3285850,2637481,2102210,1688597,1359962,1073356,812317,568958,343837,174247,62684,14093,1630,91,7995294,7242757,6416740,5671176,4834967,4268578,3760380,3229577,2645233,2126923,1689849,1330776,1019830,739321,487208,277193,125377,39196,7424,724,35
63,2020,Finland,145318,149443,152114,145472,152212,172722,169983,175189,169552,155356,174834,185013,182974,185511,187261,123871,95186,61503,31942,9572,1507,152022,156305,158754,152722,159464,180693,180086,186775,178981,161345,176444,182804,175141,170265,164166,98163,63556,32780,12507,2564,283
64,2020,Fiji,39789,40617,41367,35552,35110,35347,34664,35624,31480,25444,24183,24122,19329,14897,10904,6998,3609,1313,317,44,4,41594,42345,43082,36976,36390,36914,36517,37691,33539,27248,25270,24643,19958,14193,9643,5384,2267,649,112,10,0
65,2020,"Micronesia, Federated States of",4661,4771,5006,5090,4579,4235,4044,4065,3467,3063,2513,2108,1772,1278,721,334,181,96,27,6,1,4838,4916,5151,5157,4520,4054,3943,3711,3330,2661,2242,1983,1628,1174,640,221,79,42,11,1,0
66,2020,Faroe Islands,1749,1576,1581,1698,1759,1895,1640,1024,1271,1406,1598,1531,1487,1298,1188,908,570,376,198,63,10,1877,1686,1678,1846,1854,1979,1918,1418,1535,1629,1799,1689,1532,1357,1237,895,477,262,103,24,3
67,2020,France,1988559,2041964,2053459,2004034,1933833,1921331,1985002,2018125,1970491,2227868,2241811,2231354,2150739,2066986,1926623,1254089,1101200,880762,464321,138709,15785,2081895,2137251,2147608,2096821,2025321,1998795,2051628,2079510,2021011,2262764,2203196,2112790,1973243,1848487,1684958,1028052,771216,486894,188432,38789,3167
68,2020,Gabon,135434,131876,131775,123089,110684,93786,68961,51835,42457,40967,39770,33270,23575,15072,11133,8719,5885,2738,715,108,9,138616,136808,138166,131576,123173,112361,90884,66063,46037,36381,35181,32867,25990,18448,12480,7387,4027,1604,369,53,3
69,2020,United Kingdom,1902613,1889805,1861388,1750328,1941793,2149746,2225281,2098132,1919785,2060537,2296528,2300641,1944277,1689036,1726057,1252356,922732,598858,319939,116065,24191,1999777,1987392,1957456,1839171,2021291,2232302,2323385,2215157,2036491,2174237,2360033,2240648,1905872,1577757,1541113,1041127,689224,379444,163722,47582,8000
70,2020,Grenada,4018,4215,4287,4082,3873,4203,4865,3983,3124,3191,2847,3437,3086,2165,1724,1267,842,394,133,17,1,4414,4636,4607,4137,3890,4136,4767,4026,3430,3563,3213,3645,3118,2240,1606,1040,625,246,65,7,0
71,2020,Georgia,142893,152384,141670,118484,132396,178305,195721,178822,160730,152440,150476,187941,176633,147146,102767,75242,89317,49365,30656,8310,1712,151300,164796,153889,134557,151983,186569,197829,170952,148535,144527,136455,150093,138726,111463,74246,48791,53372,25030,11965,1968,209
72,2020,Guernsey,1547,1561,1602,1593,1884,2129,2185,2012,2091,2348,2734,2549,2204,1871,1957,1227,994,671,386,138,30,1661,1656,1685,1681,1938,2187,2303,2267,2169,2352,2567,2523,2150,1888,1798,1118,826,446,186,51,8
73,2020,Ghana,2182653,2063973,1791789,1538061,1383113,1291414,1221516,1073834,856509,689231,586646,440492,359879,269834,189142,135869,91876,44866,15101,2808,252,2230093,2100777,1818608,1543196,1343315,1196166,1080017,925821,742085,595838,535654,397986,303180,235600,159437,102659,62189,30462,9603,1605,132
74,2020,Gibraltar,989,947,893,884,975,1209,1095,1043,964,905,737,681,808,744,698,380,308,178,82,33,6,1036,999,941,936,1024,1269,1150,1095,1078,932,754,509,588,734,773,452,374,166,66,20,4
75,2020,Greenland,1971,1972,1969,1995,2155,2298,2117,1712,1413,1314,2131,2297,1619,1089,676,526,275,142,57,11,2,2056,2021,2001,2033,2162,2463,2198,1809,1526,1506,2505,2557,2043,1340,913,565,234,92,27,4,1
76,2020,"Gambia, The",133845,129581,124577,115322,106775,99467,86611,73313,59809,45392,34750,28280,22357,17129,12686,8037,4103,1555,364,48,3,135929,130618,124548,114045,103917,95913,83058,70189,57859,43808,33135,26051,20266,15395,10941,6636,3170,1062,216,21,2
77,2020,Guinea,986040,837340,736456,653002,551363,464938,399711,336954,285048,240646,203681,168936,136482,106869,77577,49209,25338,9212,2042,233,12,1005151,850644,745340,660091,555565,466203,399416,342638,287956,239311,197617,160453,126993,91953,63876,37982,17927,5810,1137,113,6
78,2020,Equatorial Guinea,57250,52821,48752,43924,37986,32519,27860,23683,19896,17061,15293,12655,9645,7253,5689,4052,2129,765,183,25,2,58749,54392,50337,45502,39399,33686,28675,24118,20166,17254,14257,10343,7148,5273,3878,2679,1489,522,105,12,1
79,2020,Greece,221254,249439,275209,253968,265851,270677,300355,342572,396971,402816,406714,374034,359133,324641,304771,248371,232126,144037,53586,10831,1268,234628,263183,297103,281982,295162,291745,308671,336744,376951,385707,380671,337903,318576,289466,263582,203896,166276,95510,32469,5463,529
80,2020,Guatemala,961129,952001,900169,848806,829257,765818,657640,553165,482502,408449,318601,274917,228367,178514,125732,81601,42814,19058,6119,983,71,1000374,987354,929615,865282,835797,763616,648254,538848,460363,380454,282658,241182,196076,152863,107685,66373,31594,12337,3286,442,27
