,country,expected_deaths,pop,age_sex_adjusted_expected_death_rate
203,Tonga,275.32792,106010,0.0025971881897934156
204,Trinidad and Tobago,5072.4199100000005,1224177,0.004143534725779034
205,Tunisia,37294.28983,11719458,0.0031822538064473632
206,Turkey,240561.35075,82009212,0.002933345472823224
207,Turkmenistan,11255.90295,5522684,0.0020381218534321357
208,Turks and Caicos Islands,132.14817,56095,0.002355792316605758
209,Tuvalu,24.11832,11350,0.002124962114537445
210,Uganda,39613.37133,43249944,0.0009159172860431912
211,Ukraine,261075.13192,43903662,0.00594654568723675
212,United Arab Emirates,10906.0992,9792173,0.0011137567933082882
213,United Kingdom,467062.63642,65731269,0.007105638511558327
214,United States,2031200.73808,332639102,0.006106319809870098
215,Uruguay,18917.76263,3389361,0.005581513043314065
216,Uzbekistan,72442.36097000001,30575754,0.0023692747191124057
217,Vanuatu,468.17794000000004,297953,0.0015713147375592796
218,Venezuela,82298.23457,28612153,0.0028763384066204318
219,Vietnam,263060.11838,101745119,0.0025854814556755296
220,"Virgin Islands, British",131.11905000000002,37146,0.0035298295913422715
221,"Virgin Islands, U.S.",692.43758,106290,0.006514607018534199
222,Wallis and Futuna,63.12907,15809,0.003993236131317604
223,West Bank,4200.46775,2898556,0.0014491587362811
224,Western Sahara,973.56957,652464,0.0014921429688074745
225,Yemen,32572.20604,29810956,0.001092625343514646
226,Zambia,18577.25968,18523385,0.001002908468403588
227,Zimbabwe,24662.14703,14546146,0.0016954420112378907
