,country,expected_deaths,pop,age_sex_adjusted_expected_death_rates,date,observed_death_rates,standardized_residuals
85,Guinea-Bissau,2078.88114,1927022,0.0010788050888884506,2021-09-13,62.02,-0.39236370940974546
86,Guyana,1764.7501200000002,786653,0.002243365397449702,2021-09-13,869.258,0.3701520787030293
87,Haiti,16621.193189999998,11061439,0.0015026248564947108,2021-09-13,51.206,-0.4924822394903584
88,Honduras,18303.16953,9232097,0.0019825581912755034,2021-09-13,931.134,0.5005142321654606
89,Hong Kong,50814.20708,7248206,0.007010590907598376,2021-09-13,28.201,-1.6571685406095304
90,Hungary,67915.58357,9756400,0.006961131520847854,2021-09-13,3124.091,2.2063857160584393
91,Iceland,2029.22693,350773,0.005785014610588614,2021-09-13,96.109,-1.316317201097507
92,India,3139279.43742,1325349639,0.0023686424661409668,2021-09-13,318.078,-0.33872473007791176
93,Indonesia,690870.77935,272856400,0.0025319940428371844,2021-09-13,503.561,-0.14231594637306755
94,Iran,186961.67025,84982541,0.002200000941958184,2021-09-13,1349.649,0.9745759386837564
95,Iraq,46285.41958,38828885,0.001192035763581674,2021-09-13,523.321,0.15725138949487844
96,Ireland,26494.32511,5173463,0.005121197370117463,2021-09-13,1034.537,-0.015270915685806264
98,Israel,37986.07471,8659792,0.004386488117728463,2021-09-13,842.57,-0.1024687361461738
99,Italy,555434.04412,62335424,0.00891040773413204,2021-09-13,2152.732,0.6003678362515437
100,Jamaica,9649.30888,2815048,0.003427759981357334,2021-09-13,583.159,-0.22725255368008612
101,Japan,1417689.9049499999,125135727,0.011329217793652167,2021-09-13,133.787,-2.4669129061326536
103,Jordan,15742.84619,10819966,0.0014549811145432435,2021-09-13,1027.167,0.7284642225694994
104,Kazakhstan,55147.13397,19085226,0.0028895195671248537,2021-09-13,791.315,0.14091768262428034
105,Kenya,61706.65823,53513653,0.0011531012138154724,2021-09-13,89.532,-0.37340438711459595
108,South Korea,310646.0492,51577174,0.006022936603699924,2021-09-13,46.136,-1.4278721301425568
109,Kosovo,5573.93367,1922449,0.0028993922179470044,2021-09-13,1453.352,0.9590615132209709
110,Kuwait,3803.32983,2995271,0.0012697782037084458,2021-09-13,561.851,0.18908983011623853
111,Kyrgyzstan,12660.3135,5963777,0.002122868360101325,2021-09-13,388.332,-0.20130356552513112
112,Laos,11342.66574,7463435,0.0015197647919490155,2021-09-13,2.168,-0.5568374785898313
113,Latvia,13633.48043,1883186,0.0072395825107026066,2021-09-13,1399.621,0.0027744689406009587
114,Lebanon,17478.32648,5463514,0.003199099788158317,2021-09-13,1211.673,0.5981314373787349
115,Lesotho,4134.05725,2162195,0.0019119724400435668,2021-09-13,186.655,-0.4081849865251858
116,Liberia,5515.85511,5073054,0.001087284919498196,2021-09-13,47.295,-0.4123869422902706
117,Libya,11319.555540000001,6890637,0.0016427444284178663,2021-09-13,638.209,0.20712486578273664
118,Liechtenstein,264.15831000000003,39137,0.00674957993714388,2021-09-13,1568.463,0.3136419213127183
119,Lithuania,20811.61577,2739816,0.007595990303728426,2021-09-13,1751.391,0.3679215260170289
120,Luxembourg,3892.88552,628615,0.006192797690160114,2021-09-13,1313.771,0.1112894025427513
122,Madagascar,34636.67338,26898646,0.0012876734903310746,2021-09-13,33.7,-0.47025830919525324
123,Malawi,26457.76975,19822929,0.0013347053682127399,2021-09-13,114.11,-0.3800610000056209
124,Malaysia,87072.35078000001,33164013,0.0026255070753952487,2021-09-13,644.492,0.01314930778364847
125,Maldives,849.5340100000001,391104,0.0021721434963590247,2021-09-13,417.571,-0.17515239102242178
126,Mali,21694.32729,19552681,0.001109532104062865,2021-09-13,26.036,-0.44334043841328724
127,Malta,3453.58124,457270,0.007552608393290616,2021-09-13,872.583,-0.7189835837867266
129,Mauritania,5600.55164,3997059,0.0014011681188593912,2021-09-13,159.159,-0.3377497194280848
130,Mauritius,4973.02379,1378798,0.003606781986919041,2021-09-13,33.767,-0.9444153062051565
131,Mexico,372878.34388,128840997,0.0028940970076473406,2021-09-13,2057.151,1.708172538019981
133,Moldova,15462.27507,3360212,0.004601577242745398,2021-09-13,1624.244,0.822001275411619
134,Monaco,451.49413,31066,0.014533384729286036,2021-09-13,835.02,-2.312443945932376
135,Mongolia,5888.64013,3168648,0.0018584077909569,2021-09-13,314.182,-0.23906479885886697
136,Montenegro,3309.69692,609786,0.005427636777492431,2021-09-13,2875.563,2.2053564540860067
138,Morocco,91121.35955,35558805,0.002562554043928079,2021-09-13,364.656,-0.3207048190407757
139,Mozambique,32483.079709999998,30097734,0.001079253332161152,2021-09-13,58.887,-0.39634654737536223
140,Namibia,3864.02588,2629632,0.0014694169678494938,2021-09-13,1328.003,1.0988195917369483
142,Nepal,58863.54124,30175326,0.0019507176572011184,2021-09-13,369.504,-0.18937288827719845
143,Netherlands,124735.6588,17274001,0.007221005648893965,2021-09-13,1074.763,-0.3980294598234435
145,New Zealand,28819.84404,4925334,0.005851348160348111,2021-09-13,5.555,-1.442510083796082
146,Nicaragua,13255.98805,6186056,0.00214288199945167,2021-09-13,29.989,-0.6496498170700206
147,Niger,22764.98437,22759615,0.001000235916556585,2021-09-13,7.958,-0.44343667003202936
148,Nigeria,250079.21866,213986428,0.0011686685973373975,2021-09-13,12.389,-0.47238217500432156
149,North Macedonia,9875.575420000001,2125463,0.00464631725887489,2021-09-13,3013.933,2.534920642371441
151,Norway,35052.18313,5465387,0.006413486022124325,2021-09-13,151.309,-1.378732720223751
152,Oman,5341.57638,3624823,0.001473610264556366,2021-09-13,782.827,0.421388856627755
153,Pakistan,375878.38014,233431156,0.0016102322696804022,2021-09-13,119.294,-0.43000511080665316
155,Panama,13009.2939,3883101,0.003350233202793335,2021-09-13,1628.863,1.0838729247549905
156,Papua New Guinea,12624.25891,7280577,0.0017339640676830971,2021-09-13,21.494,-0.5766300632511127
157,Paraguay,21472.17021,7188930,0.0029868381261189078,2021-09-13,2231.274,1.9047747946157354
158,Peru,92637.70355,31914710,0.0029026647445644974,2021-09-13,5959.307,6.540607565715641
159,Philippines,178344.92775,109168180,0.001633671347731546,2021-09-13,317.947,-0.1883416018662176
160,Poland,247422.35131,38270292,0.0064651283901883995,2021-09-13,1995.529,0.9027360138873953
161,Portugal,81995.2156,10288283,0.007969766733671692,2021-09-13,1757.094,0.298302874023549
163,Qatar,2293.89935,2447179,0.0009373647575432774,2021-09-13,206.106,-0.18440266015340123
164,Romania,134442.66913,21310245,0.006308827943085591,2021-09-13,1831.682,0.730957359922266
165,Russia,764400.89472,142588206,0.0053608984653331,2021-09-13,1302.367,0.2677017606355942
166,Rwanda,11755.56593,12709485,0.0009249443175706962,2021-09-13,88.502,-0.3279655882249965
169,Saint Kitts and Nevis,207.25447,53799,0.0038523851744456214,2021-09-13,149.404,-0.8515484798408718
170,Saint Lucia,894.43977,166141,0.005383618552915897,2021-09-13,715.831,-0.46441683767777614
173,Saint Vincent and the Grenadines,401.81688,101334,0.003965272070578483,2021-09-13,107.847,-0.926186920382106
175,San Marino,280.80240000000003,34247,0.008199328408327738,2021-09-13,2646.281,1.3624906489761304
176,Sao Tome and Principe,257.42511,210728,0.001221598980676512,2021-09-13,174.603,-0.28180038194813367
177,Saudi Arabia,54632.92493,34223743,0.001596345698657216,2021-09-13,243.629,-0.2728985710192888
178,Senegal,18122.86483,15722089,0.0011527008166662839,2021-09-13,106.593,-0.35213646256575415
179,Serbia,47875.46433,7007664,0.0068318721231497405,2021-09-13,1113.218,-0.26961714070366516
180,Seychelles,300.8559,95726,0.003142885945302217,2021-09-13,1071.681,0.43625725417197697
181,Sierra Leone,8601.11482,6643834,0.0012946011023153199,2021-09-13,14.862,-0.49506078716715407
182,Singapore,25449.87776,5810285,0.004380142757196936,2021-09-13,9.836,-1.132853268662012
184,Slovakia,30902.144,5439808,0.005680741673235526,2021-09-13,2300.06,1.440186316916184
185,Slovenia,16456.343520000002,2102452,0.007827214851991865,2021-09-13,2150.359,0.8184320428677261
187,Somalia,11245.59771,11818529,0.0009515226226546468,2021-09-13,63.083,-0.3649880859196951
188,South Africa,114904.04123,56434963,0.0020360435290796594,2021-09-13,1415.709,1.0903253539066518
189,South Sudan,11024.37384,10560984,0.0010438775250488023,2021-09-13,10.544,-0.44915155245418964
190,Spain,363617.3776,47272945,0.007691870637634275,2021-09-13,1826.775,0.4422951036384097
191,Sri Lanka,84257.81954,22895756,0.003680062782814422,2021-09-13,531.741,-0.3426475773804092
192,Sudan,55147.4853,45544096,0.0012108591484613065,2021-09-13,63.172,-0.4179557815841888
193,Suriname,1573.63107,609085,0.0025835984632686733,2021-09-13,1294.361,0.8270240701362235
194,Sweden,79411.19713,10185555,0.007796452636110649,2021-09-13,1447.123,-0.05293806499485318
195,Switzerland,60919.2278,8398489,0.007253593807171743,2021-09-13,1258.334,-0.17611408569792966
196,Syria,31810.69567,19392460,0.0016403641245102479,2021-09-13,113.976,-0.4427667576085047
197,Taiwan,137686.91394,23563036,0.005843343529246401,2021-09-13,35.171,-1.4040827604357171
198,Tajikistan,12501.337500000001,8860396,0.0014109231122401303,2021-09-13,12.821,-0.521372907014973
199,Tanzania,70014.35224000001,60362612,0.0011598960005242982,2021-09-13,0.813,-0.484962842887318
200,Thailand,316928.45521,69291926,0.00457381506771799,2021-09-13,207.074,-0.9283310730591519
201,Timor-Leste,1928.8368500000001,1382948,0.0013947283990432035,2021-09-13,71.435,-0.44531229025851565
202,Togo,11297.64042,8076517,0.0013988258082042048,2021-09-13,24.415,-0.5045101045044885
204,Trinidad and Tobago,5072.4199100000005,1224177,0.004143534725779034,2021-09-13,984.057,0.12261328160229472
205,Tunisia,37294.28983,11719458,0.0031822538064473632,2021-09-13,2031.206,1.6167337069504744
206,Turkey,240561.35075,82009212,0.002933345472823224,2021-09-13,706.903,0.027357686552446532
210,Uganda,39613.37133,43249944,0.0009159172860431912,2021-09-13,65.763,-0.3543680416961188
211,Ukraine,261075.13192,43903662,0.00594654568723675,2021-09-13,1329.681,0.18157337496284606
212,United Arab Emirates,10906.0992,9792173,0.0011137567933082882,2021-09-13,206.584,-0.21998570448716454
213,United Kingdom,467062.63642,65731269,0.007105638511558327,2021-09-13,1973.211,0.7445629987122658
214,United States,2031200.73808,332639102,0.006106319809870098,2021-09-13,1988.814,0.9673885188348295
215,Uruguay,18917.76263,3389361,0.005581513043314065,2021-09-13,1733.353,0.7572146351348207
216,Uzbekistan,72442.36097000001,30575754,0.0023692747191124057,2021-09-13,34.153,-0.6907505541988845
217,Vanuatu,468.17794000000004,297953,0.0015713147375592796,2021-09-13,3.18,-0.5661153958262334
218,Venezuela,82298.23457,28612153,0.0028763384066204318,2021-09-13,146.421,-0.6553210915789961
219,Vietnam,263060.11838,101745119,0.0025854814556755296,2021-09-13,159.521,-0.5795908737984338
225,Yemen,32572.20604,29810956,0.001092625343514646,2021-09-13,52.606,-0.40688378143600645
226,Zambia,18577.25968,18523385,0.001002908468403588,2021-09-13,192.012,-0.21535513732701486
227,Zimbabwe,24662.14703,14546146,0.0016954420112378907,2021-09-13,301.017,-0.2220042968404781
